Canias Kod;Varyans-TR;Varyans-EN;Ana Ürün-TR;Ana Ürün - EN;Moq;Paket Adedi;Status;Kategori;Ana Ürün Kodu;Ürün Kısa Kodu;Katalog ID;Katalog Sayfa Numarası;;;;;;;;;;
01.11.429S-2;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA SİY;Ufo Frame Stand Set (Special Serie) Blac;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202002;0;;;;;;;;;;
01.11.429S-3;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA BEY;Ufo Frame Stand Set (Special Serie) Whit;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202003;0;;;;;;;;;;
01.11.429S-4;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA KIR;Ufo Frame Stand Set (Special Serie) Red;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202004;0;;;;;;;;;;
01.11.429S-5;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA MAVİ;Ufo Frame Stand Set (Special Serie) Blue;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202005;0;;;;;;;;;;
01.11.429S-6;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA SARI;Ufo Frame Stand Set (Special Serie) Yell;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202006;0;;;;;;;;;;
01.11.429S-7;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA YEŞ;Ufo Frame Stand Set (Special Serie) Gree;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202007;0;;;;;;;;;;
01.11.429S-8;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA TUR;Ufo Frame Stand Set (Special Serie) Oran;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202008;0;;;;;;;;;;
01.11.429S-9;UFO A4 AYAKLI ÇERÇEVE STD SET SMRA GRİ;Ufo Frame Stand Set (Special Serie) Gray;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202009;0;;;;;;;;;;
01.11.529S-1;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA ŞEF;Ufo Frame Stand Set (Special Serie) Tran;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202010;0;;;;;;;;;;
01.11.529S-2;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA SİY;Ufo Frame Stand Set (Special Serie) Blac;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202011;0;;;;;;;;;;
01.11.529S-3;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA BEY;Ufo Frame Stand Set (Special Serie) Whit;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202012;0;;;;;;;;;;
01.11.529S-4;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA KIR;Ufo Frame Stand Set (Special Serie) Red;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202013;0;;;;;;;;;;
01.11.529S-5;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA MAVİ;Ufo Frame Stand Set (Special Serie) Blue;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202014;0;;;;;;;;;;
01.11.529S-6;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA SARI;Ufo Frame Stand Set (Special Serie) Yell;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202015;0;;;;;;;;;;
01.11.529S-7;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA YEŞ;Ufo Frame Stand Set (Special Serie) Gree;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202016;0;;;;;;;;;;
01.11.529S-8;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA TUR;Ufo Frame Stand Set (Special Serie) Oran;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202017;0;;;;;;;;;;
01.11.529S-9;UFO A5 AYAKLI ÇERÇEVE STD SET SMRA GRİ;Ufo Frame Stand Set (Special Serie) Gray;AYAKLI ÇERÇEVE SET (UFO);UFO Frame Stand Set;0;10;P;01.2;02;01202;01202018;0;;;;;;;;;;
01.15.409S-1;STD STAR GRİ TABAN TELESKOPİK Y A4 ÇERÇEVE SET ŞEF;"Star Frame Stand Set (Special Serie) Trans. A4 300/600
";AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;A;01.2;03;01203;01203001;0;;;;;;;;;;
01.15.409S-2;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA SİY;"Star Frame Stand Set (Special Serie) Black  A4 300/600
";AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203002;0;;;;;;;;;;
01.15.409S-3;STAR A4 AYAKLI ÇERÇEVE STD SET PLRA BEY;Star Frame Stand Set (Special Serie) Whi;AYAKLI ÇERÇEVE SET (STAR);Star Frame Stand Set;0;10;P;01.2;03;01203;01203003;0;;;;;;;;;;
